FRN,471 Application Number,Billed Entity Name,Applicant Type,Applicant Street Address 1,Applicant City,Applicant Zip Code,Fund Year,Cmtd Total Cost,FRN Committed Amount,Total Authorized Disbursement
1699054818,161027244,ST JOSEPH ELEMENTARY SCHOOL,School,1811 CAROLINA ST,BAYTOWN,"	77520",2016,"$1,190.16 ",$952.13 ,$952.13 
1699054819,161027248,ST LAURENCE ELEMENTARY SCHOOL,School,2630 AUSTIN PKWY,SUGAR LAND,"	77479",2016,"$2,980.92 ","$1,192.37 ","$1,161.15 "
1699054820,161027248,ST LAURENCE ELEMENTARY SCHOOL,School,2630 AUSTIN PKWY,SUGAR LAND,"	77479",2016,"$15,013.08 ","$6,005.23 ","$5,520.00 "
1699055340,161016506,BAIS MENACHEM,School,2127 PARMER LN,AUSTIN,"	78731",2016,"$1,800.00 ",$0.00 ,
1699055475,161026859,SPRING CREEK ELEMENTARY SCHOOL,School,HC 1 BOX 48,SKELLYTOWN,"	79080",2016,"$7,399.92 ","$5,919.94 ","$5,919.94 "
1699055725,161027623,ERATH EXCELS  ACADEMY,School,680 PEACH ORCHARD RD,STEPHENVILLE,"	76401",2016,"$7,440.00 ","$6,696.00 ",
1699055997,161023630,SOUTHLAND ISD,School,190 EIGHTH ST,SOUTHLAND,"	79364",2016,"$20,400.00 ","$18,360.00 ","$18,360.00 "
1699056157,161027769,Poetry Community Christian School,School,18688 FM 986,Terrell,"	75160",2016,"$12,010.80 ","$6,005.40 ","$6,005.40 "
1699056544,161027249,ST MARTHA'S SCHOOL,School,2411 OAK SHORES DR,KINGWOOD,"	77339",2016,"$4,626.36 ","$1,850.54 ",$871.80 
1699056737,161028062,REGION-IV ESC,School,7145 WEST TIDWELL,HOUSTON,"	77092",2016,"$23,940.00 ","$14,364.00 ","$14,364.00 "
1699056760,161028062,REGION-IV ESC,School,7145 WEST TIDWELL,HOUSTON,"	77092",2016,"$8,880.00 ","$5,328.00 ","$5,328.00 "
1699057027,161028127,ST MARY MAGDALENE SCHOOL,School,530 FERGUSON ST,HUMBLE,"	77338",2016,"$2,698.80 ","$1,079.52 ","$1,079.52 "
1699057179,161028190,ST MARY SCHOOL,School,1612 E WALKER ST,LEAGUE CITY,"	77573",2016,"$2,878.20 ","$1,151.28 ","$1,151.28 "
1699057201,161028208,ST. MARY OF THE PURIFICATION MONTESSORI SCHOOL,School,3002 ROSEDALE ST,HOUSTON,"	77004",2016,"$1,558.80 ",$623.52 ,$623.52 
1699057226,161028216,ST MICHAEL SCHOOL,School,1833 SAGE RD,HOUSTON,"	77056",2016,"$3,392.28 ","$1,356.91 ","$1,194.79 "
1699057239,161028216,ST MICHAEL SCHOOL,School,1833 SAGE RD,HOUSTON,"	77056",2016,"$4,158.00 ","$1,663.20 ","$1,663.20 "
1699057271,161028226,ST PETER THE APOSTLE SCHOOL,School,6220 LA SALETTE ST,HOUSTON,"	77021",2016,"$5,449.32 ","$4,359.46 ","$2,820.07 "
1699057281,161028240,ST PIUS V SCHOOL,School,812 MAIN ST,PASADENA,"	77506",2016,"$5,139.24 ","$4,625.32 ","$3,369.25 "
1699058001,161027591,NOTRE DAME SCHOOL,School,2821 LANSING BLVD,WICHITA FALLS,"	76309",2016,$600.00 ,$240.00 ,
1699058353,161028712,ST PIUS X HIGH SCHOOL,School,811 W DONOVAN ST,HOUSTON,"	77091",2016,"$42,172.80 ","$33,738.24 ","$33,738.24 "
